"C655  D8        CLD                             A:00 X:00 Y:00 P:24 SP:FD"
"C656  A2 00     LDX #$00                        A:00 X:00 Y:00 P:24 SP:FD"
"C658  8E 00 20  STX $2000 = 00                  A:00 X:00 Y:00 P:26 SP:FD"
"C65B  8E 01 20  STX $2001 = 00                  A:00 X:00 Y:00 P:26 SP:FD"
"C65E  CA        DEX                             A:00 X:00 Y:00 P:26 SP:FD"
"C65F  9A        TXS                             A:00 X:FF Y:00 P:A4 SP:FD"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:A4 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
"C660  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF"
"C663  10 FB     BPL $C660                       A:00 X:FF Y:00 P:26 SP:FF"
